City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
125,Itaituba,BR,2019-11-11 05:04:50,-4.26,-55.99,72.82,97,93,2.8,light rain,0.56,0
126,Mahebourg,MU,2019-11-11 05:04:51,-20.41,57.7,80.01,78,75,3.36,broken clouds,0,0
127,Diu,IN,2019-11-11 05:04:51,20.71,70.98,80.67,63,0,1.03,clear sky,0,0
128,Llanes,ES,2019-11-11 05:04:51,43.42,-4.75,53.01,86,100,7.54,light rain,0.25,0
129,Baykit,RU,2019-11-11 05:04:51,61.68,96.39,-14.41,90,87,2.91,overcast clouds,0,0
130,Abu Samrah,SY,2019-11-11 05:04:51,35.3,37.18,64.99,23,77,7.05,broken clouds,0,0
131,Fallon,US,2019-11-11 05:04:52,46.84,-105.12,10.99,84,90,10.29,light snow,0,0
132,Iqaluit,CA,2019-11-11 05:04:52,63.75,-68.52,10.4,85,90,9.17,light snow,0,0
133,Saint-Louis,SN,2019-11-11 05:04:52,16.03,-16.5,71.6,78,97,4.7,overcast clouds,0,0
134,Henties Bay,NA,2019-11-11 05:04:53,-22.12,14.28,57.0,94,91,3.0,overcast clouds,0,0
135,Berlevag,NO,2019-11-11 05:04:53,70.86,29.09,30.2,80,75,16.11,broken clouds,0,0
136,Yulara,AU,2019-11-11 05:04:53,-25.24,130.99,100.4,4,0,8.05,clear sky,0,0
137,Saint George,GR,2019-11-11 05:04:54,39.45,22.34,50.0,76,20,6.93,few clouds,0,0
138,Harlingen,NL,2019-11-11 05:04:54,53.18,5.41,42.8,86,90,11.41,mist,0,0
139,Dunmore Town,BS,2019-11-11 05:04:54,25.5,-76.65,75.99,69,0,17.36,clear sky,0,0
140,Kpandu,GH,2019-11-11 05:04:55,7.0,0.29,71.98,91,77,1.7,broken clouds,0,0
141,Baruun-Urt,MN,2019-11-11 05:04:55,46.68,113.28,28.99,32,82,8.72,broken clouds,0,0
142,Saskylakh,RU,2019-11-11 05:04:55,71.97,114.09,-3.72,98,100,4.34,light snow,0,0.44
143,Kagadi,UG,2019-11-11 05:04:55,0.95,30.8,71.06,86,16,1.83,light rain,1.12,0
144,Aykhal,RU,2019-11-11 05:04:56,65.95,111.51,-20.21,75,100,4.47,overcast clouds,0,0
145,Geraldton,CA,2019-11-11 05:04:56,49.72,-86.95,-0.41,77,75,6.93,broken clouds,0,0
146,Kavieng,PG,2019-11-11 05:04:56,-2.57,150.8,84.54,64,0,1.34,clear sky,0,0
147,Landerneau,FR,2019-11-11 05:04:56,48.45,-4.26,50.0,76,89,19.46,light rain,0.5,0
148,Shimoda,JP,2019-11-11 05:04:57,34.7,138.93,69.8,64,40,12.75,scattered clouds,0,0
149,Cidreira,BR,2019-11-11 05:04:57,-30.17,-50.22,69.87,77,86,17.6,light rain,0.19,0
150,Arman,RU,2019-11-11 05:04:57,59.7,150.17,23.23,61,60,9.04,broken clouds,0,0
